allCountries,qsi_000008,00.083745,00.115760,00.108892,00.156595,00.212357,00.287270,00.295530,00.276738,00.351746,00.345582,00.400032,00.417187,00.410418,00.408856,00.385822,00.381994,00.432306,
allCountries.40kr,qsi_000016,00.152127,00.220009,00.389719,00.609461,00.825962,01.038576,01.224681,01.401836,01.552045,01.670359,01.786583,01.891280,01.988826,02.065031,02.128430,02.190907,02.253890,02.294279
allCountries.500k,qsi_000016,00.140584,00.149350,00.155222,00.171196,00.185391,00.188952,00.200957,00.214275,00.216857,00.221988,00.226022,00.239410,00.235483,00.245969,00.252571,00.257289,00.267473,00.266656
allCountries.50k,qsi_000016,00.184578,00.287232,00.534064,00.872147,01.163306,01.414022,01.634471,01.821874,01.966562,02.108569,02.222687,02.318664,02.414359,02.493282,02.565324,02.652646,02.715236,02.774639
allCountries.50kr,qsi_000016,00.161426,00.246871,00.457429,00.740346,01.009736,01.243055,01.485416,01.686537,01.857556,02.016503,02.152968,02.267497,02.391253,02.482322,02.584344,02.653092,02.732351,02.799618
allCountries.50ku,qsi_000016,00.171378,00.268647,00.498150,00.822281,01.101649,01.346666,01.573424,01.763025,01.921696,02.066479,02.184845,02.297526,02.396473,02.473001,02.556852,02.643484,02.716151,02.789438
allCountries.5k,qsi_000016,00.035832,00.050170,00.083394,00.125234,00.162087,00.195485,00.226304,00.248655,00.264363,00.278230,00.289550,00.299072,00.307463,00.314715,00.322100,00.324594,00.330078,00.335765
allCountries,qsi_000016,00.087918,00.121213,00.115229,00.161963,00.220460,00.295752,00.306634,00.286583,00.362290,00.359368,00.414114,00.433379,00.422505,00.425328,00.402384,00.398227,00.449369,
allCountries.40kr,qsi_000032,00.184216,00.266024,00.465996,00.710743,00.946513,01.181160,01.375192,01.559531,01.711762,01.834523,01.946542,02.048179,02.128329,02.207857,02.279061,02.337002,02.404239,02.438452
allCountries.500k,qsi_000032,00.139772,00.150215,00.157142,00.174458,00.190962,00.196183,00.209057,00.222863,00.224683,00.229138,00.236035,00.249097,00.248322,00.257443,00.263180,00.271624,00.278500,00.278829
allCountries.50k,qsi_000032,00.230653,00.353485,00.643275,01.024632,01.344419,01.623760,01.837148,02.014044,02.147525,02.297134,02.402584,02.491721,02.582703,02.670912,02.728503,02.801559,02.868993,02.924319
allCountries.50kr,qsi_000032,00.192850,00.291392,00.527087,00.837250,01.120328,01.377092,01.634357,01.850680,02.022452,02.184833,02.314230,02.442938,02.555988,02.642923,02.746009,02.817134,02.902620,02.964949
allCountries.50ku,qsi_000032,00.201820,00.312045,00.570953,00.927638,01.225325,01.482954,01.729829,01.921958,02.075601,02.220972,02.339227,02.451939,02.557411,02.626100,02.708869,02.791643,02.860238,02.932529
